ID,Crime_Category ,
352,Crimes against Public Order,
353,Crimes against Public Order,
354,Other Crimes,
355,Fraud and White-Collar Crimes,
356,Property Crimes,
357,Violent Crimes,
358,Crimes against Public Order,
359,Other Crimes,
360,Crimes against Public Order,
361,Crimes against Public Order,
362,Other Crimes,
363,Fraud and White-Collar Crimes,
364,Property Crimes,
365,Crimes against Public Order,
366,Crimes against Persons,
367,Violent Crimes,
368,Property Crimes,
369,Property Crimes,
370,Fraud and White-Collar Crimes,
371,Violent Crimes,
372,Violent Crimes,
373,Crimes against Public Order,
374,Other Crimes,
375,Violent Crimes,
376,Other Crimes,
377,Crimes against Persons,
378,Property Crimes,
379,Violent Crimes,
380,Property Crimes,
381,Fraud and White-Collar Crimes,
382,Property Crimes,
383,Crimes against Public Order,
384,Other Crimes,
385,Other Crimes,
386,Crimes against Public Order,
387,Crimes against Persons,
388,Fraud and White-Collar Crimes,
389,Violent Crimes,
390,Property Crimes,
391,Fraud and White-Collar Crimes,
392,Crimes against Public Order,
393,Crimes against Public Order,
394,Violent Crimes,
395,Property Crimes,
396,Violent Crimes,
397,Violent Crimes,
398,Property Crimes,
399,Violent Crimes,
400,Fraud and White-Collar Crimes,
401,Fraud and White-Collar Crimes,
402,Crimes against Persons,
403,Other Crimes,
404,Violent Crimes,
405,Crimes against Persons,
406,Fraud and White-Collar Crimes,
407,Other Crimes,
408,Property Crimes,
409,Crimes against Persons,
410,Fraud and White-Collar Crimes,
411,Violent Crimes,
412,Property Crimes,
413,Crimes against Persons,
414,Violent Crimes,
415,Other Crimes,
416,Property Crimes,
417,Fraud and White-Collar Crimes,
418,Crimes against Persons,
419,Crimes against Public Order,
420,Fraud and White-Collar Crimes,
421,Violent Crimes,
422,Violent Crimes,
423,Other Crimes,
424,Other Crimes,
425,Crimes against Public Order,
426,Other Crimes,
427,Crimes against Public Order,
428,Property Crimes,
429,Other Crimes,
430,Crimes against Persons,
431,Other Crimes,
432,Property Crimes,
433,Other Crimes,
434,Violent Crimes,
435,Crimes against Public Order,
436,Crimes against Persons,
437,Other Crimes,
438,Fraud and White-Collar Crimes,
439,Property Crimes,
440,Crimes against Persons,
441,Property Crimes,
442,Other Crimes,
443,Fraud and White-Collar Crimes,
444,Fraud and White-Collar Crimes,
445,Property Crimes,
446,Crimes against Persons,
447,Violent Crimes,
448,Property Crimes,
449,Fraud and White-Collar Crimes,
450,Crimes against Persons,
451,Property Crimes,
452,Fraud and White-Collar Crimes,
453,Crimes against Persons,
454,Crimes against Persons,
455,Property Crimes,
456,Violent Crimes,
457,Other Crimes,
458,Fraud and White-Collar Crimes,
459,Other Crimes,
460,Other Crimes,
461,Fraud and White-Collar Crimes,
462,Crimes against Public Order,
463,Crimes against Public Order,
464,Fraud and White-Collar Crimes,
465,Property Crimes,
466,Fraud and White-Collar Crimes,
467,Fraud and White-Collar Crimes,
468,Violent Crimes,
469,Fraud and White-Collar Crimes,
470,Other Crimes,
471,Fraud and White-Collar Crimes,
472,Other Crimes,
473,Property Crimes,
474,Other Crimes,
475,Other Crimes,
476,Property Crimes,
477,Property Crimes,
478,Violent Crimes,
479,Other Crimes,
480,Crimes against Persons,
481,Crimes against Public Order,
482,Fraud and White-Collar Crimes,
483,Violent Crimes,
484,Fraud and White-Collar Crimes,
485,Crimes against Persons,
486,Crimes against Persons,
487,Crimes against Public Order,
488,Fraud and White-Collar Crimes,
489,Violent Crimes,
490,Crimes against Public Order,
491,Violent Crimes,
492,Fraud and White-Collar Crimes,
493,Fraud and White-Collar Crimes,
494,Crimes against Persons,
495,Fraud and White-Collar Crimes,
496,Property Crimes,
497,Violent Crimes,
498,Fraud and White-Collar Crimes,
499,Crimes against Public Order,
500,Fraud and White-Collar Crimes,
501,Violent Crimes,
502,Crimes against Persons,
503,Crimes against Persons,
504,Fraud and White-Collar Crimes,
505,Crimes against Persons,
506,Crimes against Public Order,
507,Crimes against Public Order,
508,Violent Crimes,
509,Property Crimes,
510,Property Crimes,
511,Property Crimes,
512,Property Crimes,
513,Other Crimes,
514,Other Crimes,
515,Crimes against Public Order,
516,Crimes against Persons,
517,Other Crimes,
518,Crimes against Persons,
519,Other Crimes,
520,Crimes against Persons,
521,Violent Crimes,
522,Fraud and White-Collar Crimes,
523,Crimes against Persons,
524,Other Crimes,
525,Other Crimes,
526,Crimes against Persons,
527,Property Crimes,
528,Other Crimes,
529,Fraud and White-Collar Crimes,
530,Property Crimes,
531,Other Crimes,
532,Crimes against Persons,
533,Crimes against Persons,
534,Crimes against Persons,
535,Violent Crimes,
536,Property Crimes,
537,Other Crimes,
538,Crimes against Public Order,
539,Crimes against Persons,
540,Crimes against Persons,
541,Crimes against Public Order,
542,Other Crimes,
543,Fraud and White-Collar Crimes,
544,Other Crimes,
545,Crimes against Public Order,
546,Other Crimes,
547,Crimes against Public Order,
548,Fraud and White-Collar Crimes,
549,Fraud and White-Collar Crimes,
550,Crimes against Persons,
551,Property Crimes,
552,Property Crimes,
553,Crimes against Public Order,
554,Property Crimes,
555,Fraud and White-Collar Crimes,
556,Crimes against Public Order,
557,Crimes against Persons,
558,Crimes against Persons,
559,Crimes against Persons,
560,Violent Crimes,
561,Other Crimes,
562,Crimes against Persons,
563,Violent Crimes,
564,Crimes against Persons,
565,Crimes against Persons,
566,Fraud and White-Collar Crimes,
567,Crimes against Public Order,
568,Fraud and White-Collar Crimes,
569,Property Crimes,
570,Crimes against Persons,
571,Other Crimes,
572,Violent Crimes,
573,Property Crimes,
574,Property Crimes,
575,Violent Crimes,
576,Other Crimes,
577,Crimes against Persons,
578,Crimes against Persons,
579,Property Crimes,
580,Crimes against Public Order,
581,Violent Crimes,
582,Crimes against Public Order,
583,Crimes against Public Order,
584,Fraud and White-Collar Crimes,
585,Crimes against Persons,
586,Crimes against Public Order,
587,Property Crimes,
588,Crimes against Persons,
589,Crimes against Persons,
590,Fraud and White-Collar Crimes,
591,Other Crimes,
592,Other Crimes,
593,Crimes against Public Order,
594,Crimes against Persons,
595,Crimes against Persons,
596,Other Crimes,
597,Crimes against Persons,
598,Property Crimes,
599,Crimes against Public Order,
600,Crimes against Persons,
601,Crimes against Public Order,
602,Property Crimes,
603,Property Crimes,
604,Other Crimes,
605,Crimes against Public Order,
606,Other Crimes,
607,Property Crimes,
608,Property Crimes,
609,Violent Crimes,
610,Property Crimes,
611,Crimes against Public Order,
612,Crimes against Public Order,
613,Crimes against Persons,
614,Violent Crimes,
615,Crimes against Persons,
616,Property Crimes,
617,Crimes against Public Order,
618,Crimes against Persons,
619,Property Crimes,
620,Crimes against Persons,
621,Fraud and White-Collar Crimes,
622,Property Crimes,
623,Fraud and White-Collar Crimes,
624,Crimes against Persons,
625,Other Crimes,
626,Fraud and White-Collar Crimes,
627,Property Crimes,
628,Crimes against Persons,
629,Violent Crimes,
630,Fraud and White-Collar Crimes,
631,Fraud and White-Collar Crimes,
632,Crimes against Persons,
633,Fraud and White-Collar Crimes,
634,Property Crimes,
635,Crimes against Public Order,
636,Property Crimes,
637,Crimes against Persons,
638,Fraud and White-Collar Crimes,
639,Violent Crimes,
640,Property Crimes,
641,Crimes against Public Order,
642,Crimes against Persons,
643,Crimes against Persons,
644,Fraud and White-Collar Crimes,
645,Violent Crimes,
646,Crimes against Persons,
647,Fraud and White-Collar Crimes,
648,Property Crimes,
649,Property Crimes,
650,Fraud and White-Collar Crimes,
651,Crimes against Persons,
652,Other Crimes,
653,Violent Crimes,
654,Other Crimes,
655,Other Crimes,
656,Other Crimes,
657,Property Crimes,
658,Crimes against Public Order,
659,Fraud and White-Collar Crimes,
660,Crimes against Persons,
661,Property Crimes,
662,Violent Crimes,
663,Other Crimes,
664,Crimes against Persons,
665,Property Crimes,
666,Violent Crimes,
667,Violent Crimes,
668,Other Crimes,
669,Other Crimes,
670,Fraud and White-Collar Crimes,
671,Violent Crimes,
672,Fraud and White-Collar Crimes,
673,Fraud and White-Collar Crimes,
674,Fraud and White-Collar Crimes,
675,Violent Crimes,
676,Fraud and White-Collar Crimes,
677,Fraud and White-Collar Crimes,
678,Fraud and White-Collar Crimes,
679,Violent Crimes,
680,Other Crimes,
681,Crimes against Public Order,
682,Fraud and White-Collar Crimes,
683,Other Crimes,
684,Other Crimes,
685,Crimes against Persons,
686,Crimes against Public Order,
687,Crimes against Public Order,
688,Crimes against Persons,
689,Crimes against Public Order,
690,Fraud and White-Collar Crimes,
691,Crimes against Persons,
692,Other Crimes,
693,Crimes against Persons,
694,Other Crimes,
695,Fraud and White-Collar Crimes,
696,Crimes against Public Order,
697,Crimes against Public Order,
698,Crimes against Persons,
699,Property Crimes,
700,Property Crimes,
701,Property Crimes,
702,Crimes against Public Order,
703,Crimes against Persons,
704,Other Crimes,
705,Property Crimes,
706,Crimes against Public Order,
707,Property Crimes,
708,Other Crimes,
709,Property Crimes,
710,Violent Crimes,
711,Fraud and White-Collar Crimes,
712,Violent Crimes,
713,Property Crimes,
714,Other Crimes,
715,Fraud and White-Collar Crimes,
716,Fraud and White-Collar Crimes,
717,Violent Crimes,
718,Other Crimes,
719,Other Crimes,
720,Crimes against Persons,
721,Crimes against Persons,
722,Violent Crimes,
723,Crimes against Public Order,
724,Fraud and White-Collar Crimes,
725,Crimes against Public Order,
726,Fraud and White-Collar Crimes,
727,Crimes against Public Order,
728,Fraud and White-Collar Crimes,
729,Property Crimes,
730,Other Crimes,
731,Crimes against Public Order,
732,Violent Crimes,
733,Crimes against Public Order,
734,Crimes against Persons,
735,Crimes against Public Order,
736,Crimes against Public Order,
737,Other Crimes,
738,Property Crimes,
739,Fraud and White-Collar Crimes,
740,Crimes against Persons,
741,Crimes against Public Order,
742,Other Crimes,
743,Crimes against Public Order,
744,Crimes against Public Order,
745,Property Crimes,
746,Crimes against Public Order,
747,Violent Crimes,
748,Other Crimes,
749,Fraud and White-Collar Crimes,
750,Crimes against Public Order,
751,Crimes against Public Order,
752,Fraud and White-Collar Crimes,
753,Property Crimes,
754,Violent Crimes,
755,Crimes against Persons,
756,Violent Crimes,
757,Crimes against Public Order,
758,Violent Crimes,
759,Fraud and White-Collar Crimes,
760,Property Crimes,
761,Other Crimes,
762,Crimes against Persons,
763,Property Crimes,
764,Crimes against Persons,
765,Property Crimes,
766,Property Crimes,
767,Property Crimes,
768,Other Crimes,
769,Crimes against Persons,
770,Property Crimes,
771,Property Crimes,
772,Crimes against Public Order,
773,Fraud and White-Collar Crimes,
774,Crimes against Public Order,
775,Crimes against Persons,
776,Other Crimes,
777,Other Crimes,
778,Crimes against Persons,
779,Other Crimes,
780,Other Crimes,
781,Fraud and White-Collar Crimes,
782,Other Crimes,
783,Crimes against Persons,
784,Other Crimes,
785,Fraud and White-Collar Crimes,
786,Violent Crimes,
787,Crimes against Persons,
788,Property Crimes,
789,Crimes against Persons,
790,Property Crimes,
791,Property Crimes,
792,Violent Crimes,
793,Crimes against Persons,
794,Property Crimes,
795,Violent Crimes,
796,Crimes against Public Order,
797,Other Crimes,
798,Fraud and White-Collar Crimes,
799,Crimes against Persons,
800,Property Crimes,
801,Other Crimes,
802,Crimes against Persons,
803,Other Crimes,
804,Property Crimes,
805,Property Crimes,
806,Crimes against Public Order,
807,Other Crimes,
808,Crimes against Persons,
809,Violent Crimes,
810,Violent Crimes,
811,Property Crimes,
812,Property Crimes,
813,Crimes against Persons,
814,Violent Crimes,
815,Crimes against Public Order,
816,Property Crimes,
817,Property Crimes,
818,Other Crimes,
819,Fraud and White-Collar Crimes,
820,Crimes against Persons,
821,Other Crimes,
822,Violent Crimes,
823,Property Crimes,
824,Crimes against Persons,
825,Other Crimes,
826,Violent Crimes,
827,Crimes against Persons,
828,Crimes against Public Order,
829,Fraud and White-Collar Crimes,
830,Crimes against Public Order,
831,Violent Crimes,
832,Fraud and White-Collar Crimes,
833,Property Crimes,
834,Violent Crimes,
835,Violent Crimes,
836,Crimes against Persons,
837,Other Crimes,
838,Other Crimes,
839,Fraud and White-Collar Crimes,
840,Crimes against Persons,
841,Crimes against Public Order,
842,Violent Crimes,
843,Crimes against Persons,
844,Crimes against Persons,
845,Other Crimes,
846,Property Crimes,
847,Fraud and White-Collar Crimes,
848,Violent Crimes,
849,Property Crimes,
850,Property Crimes,
851,Violent Crimes,
852,Crimes against Public Order,
853,Other Crimes,
854,Other Crimes,
855,Violent Crimes,
856,Fraud and White-Collar Crimes,
857,Crimes against Public Order,
858,Other Crimes,
859,Other Crimes,
860,Crimes against Public Order,
861,Violent Crimes,
862,Property Crimes,
863,Crimes against Public Order,
864,Fraud and White-Collar Crimes,
865,Crimes against Persons,
866,Crimes against Persons,
867,Property Crimes,
868,Other Crimes,
869,Property Crimes,
870,Fraud and White-Collar Crimes,
871,Crimes against Public Order,
872,Property Crimes,
873,Property Crimes,
874,Fraud and White-Collar Crimes,
875,Property Crimes,
876,Crimes against Public Order,
877,Fraud and White-Collar Crimes,
878,Violent Crimes,
879,Fraud and White-Collar Crimes,
880,Crimes against Public Order,
881,Violent Crimes,
882,Fraud and White-Collar Crimes,
883,Fraud and White-Collar Crimes,
884,Crimes against Persons,
885,Violent Crimes,
886,Crimes against Public Order,
887,Violent Crimes,
888,Violent Crimes,
889,Fraud and White-Collar Crimes,
890,Violent Crimes,
891,Crimes against Persons,
892,Crimes against Persons,
893,Property Crimes,
894,Crimes against Persons,
895,Other Crimes,
896,Crimes against Public Order,
897,Property Crimes,
898,Fraud and White-Collar Crimes,
899,Crimes against Persons,
900,Violent Crimes,
901,Crimes against Persons,
902,Violent Crimes,
903,Other Crimes,
904,Crimes against Persons,
905,Fraud and White-Collar Crimes,
906,Crimes against Public Order,
907,Crimes against Persons,
908,Crimes against Public Order,
909,Violent Crimes,
910,Fraud and White-Collar Crimes,
911,Crimes against Persons,
912,Crimes against Public Order,
913,Property Crimes,
914,Property Crimes,
915,Crimes against Public Order,
916,Property Crimes,
917,Fraud and White-Collar Crimes,
918,Property Crimes,
919,Fraud and White-Collar Crimes,
920,Violent Crimes,
921,Crimes against Public Order,
922,Property Crimes,
923,Crimes against Public Order,
924,Fraud and White-Collar Crimes,
925,Other Crimes,
926,Fraud and White-Collar Crimes,
927,Crimes against Public Order,
928,Violent Crimes,
929,Crimes against Public Order,
930,Fraud and White-Collar Crimes,
931,Fraud and White-Collar Crimes,
932,Violent Crimes,
933,Crimes against Public Order,
934,Other Crimes,
935,Property Crimes,
936,Crimes against Public Order,
937,Property Crimes,
938,Property Crimes,
939,Crimes against Persons,
940,Property Crimes,
941,Property Crimes,
942,Fraud and White-Collar Crimes,
943,Crimes against Persons,
944,Fraud and White-Collar Crimes,
945,Crimes against Persons,
946,Property Crimes,
947,Crimes against Persons,
948,Other Crimes,
949,Other Crimes,
950,Crimes against Public Order,
951,Fraud and White-Collar Crimes,
952,Property Crimes,
953,Property Crimes,
954,Fraud and White-Collar Crimes,
955,Fraud and White-Collar Crimes,
956,Violent Crimes,
957,Fraud and White-Collar Crimes,
958,Violent Crimes,
959,Property Crimes,
960,Other Crimes,
961,Fraud and White-Collar Crimes,
962,Violent Crimes,
963,Crimes against Persons,
964,Crimes against Public Order,
965,Crimes against Persons,
966,Violent Crimes,
967,Fraud and White-Collar Crimes,
968,Fraud and White-Collar Crimes,
969,Fraud and White-Collar Crimes,
970,Fraud and White-Collar Crimes,
971,Crimes against Public Order,
972,Crimes against Public Order,
973,Violent Crimes,
974,Fraud and White-Collar Crimes,
975,Crimes against Public Order,
976,Crimes against Public Order,
977,Violent Crimes,
978,Other Crimes,
979,Property Crimes,
980,Violent Crimes,
981,Violent Crimes,
982,Other Crimes,
983,Crimes against Persons,
984,Fraud and White-Collar Crimes,
985,Property Crimes,
986,Crimes against Public Order,
987,Crimes against Persons,
988,Crimes against Public Order,
989,Crimes against Public Order,
990,Violent Crimes,
991,Property Crimes,
992,Other Crimes,
993,Crimes against Public Order,
994,Other Crimes,
995,Fraud and White-Collar Crimes,
996,Fraud and White-Collar Crimes,
997,Property Crimes,
998,Violent Crimes,
999,Property Crimes,
1000,Violent Crimes,
